year,odometer,cylinders,fuel,manufacture,drive,paint,price,transmission
2021,50556,8,0.0,ford,4wd,white,49997,0.0
2016,86758,NaN,0.0,honda,NaN,NaN,17997,0.0
2020,27927,NaN,0.0,honda,NaN,blue,23997,0.0
2019,41010,NaN,0.0,honda,NaN,white,21997,1.0
2021,11211,NaN,0.0,ford,4wd,NaN,NaN,0.0
2012,116218,NaN,0.0,honda,NaN,silver,NaN,0.0
2022,2234,NaN,0.0,ford,4wd,NaN,NaN,0.0
2021,27113,NaN,0.0,ford,4wd,NaN,NaN,0.0
2020,23107,4,0.0,honda,fwd,grey,24900,0.0
2009,131000,NaN,0.0,honda,NaN,NaN,8500,0.0
2021,25027,NaN,0.0,ford,4wd,NaN,NaN,0.0
2013,132500,6,0.0,ford,4wd,silver,10995,0.0
1998,139878,6,0.0,toyota,fwd,brown,2900,0.0
1987,260000,6,0.0,bmw,rwd,white,8600,1.0
2022,19825,4,1.0,toyota,fwd,grey,31900,0.0
2010,201,NaN,0.0,NaN,NaN,white,5800,0.0
1994,35265,8,0.0,NaN,rwd,black,40000,0.0
2014,117500,4,0.0,NaN,fwd,silver,7995,0.0
2022,12800,4,0.0,NaN,NaN,NaN,1,0.0
2001,141055,NaN,0.0,chevrolet,NaN,black,4795,0.0
2012,189000,NaN,0.0,NaN,NaN,NaN,9700,0.0
2007,151900,6,0.0,lexus,fwd,silver,7000,0.0
2013,111023,NaN,0.0,dodge,rwd,blue,NaN,0.0
2018,39855,4,0.0,honda,fwd,blue,24700,0.0
2015,94162,6,0.0,jeep,4wd,white,19000,0.0
2020,66326,6,0.0,chrysler,fwd,blue,21000,0.0
2017,185000,4,0.0,toyota,4wd,grey,30000,0.0
2006,26574,10,0.0,lamborghini,NaN,blue,94999,1.0
2005,170442,8,0.0,e,NaN,blue,3200,0.0
2018,59874,6,0.0,NaN,4wd,silver,24995,0.0
2018,59874,6,0.0,NaN,4wd,silver,24995,0.0
2017,32000,4,0.0,toyota,4wd,silver,21500,0.0
2012,81200,4,0.0,mazda,fwd,grey,8495,0.0
1995,200000,NaN,0.0,acura,NaN,NaN,1299,0.0
2007,113000,6,0.0,NaN,4wd,white,8000,0.0
2013,90000,NaN,1.0,tesla,rwd,white,42000,1.0
2015,110712,NaN,0.0,mazda,fwd,blue,16995,0.0
2012,210000,6,0.0,jeep,4wd,grey,10500,0.0
2014,144626,NaN,0.0,dodge,rwd,silver,NaN,1.0
2014,97501,NaN,0.0,honda,fwd,NaN,211,0.0
2014,64000,NaN,0.0,NaN,NaN,NaN,24000,1.0
2001,192000,6,0.0,NaN,fwd,green,3500,0.0
2002,132245,8,0.0,dodge,rwd,white,8900,0.0
2001,107260,6,0.0,audi,4wd,blue,19599,1.0
2015,60815,4,0.0,volkswagen,fwd,black,10500,0.0
2008,254702,8,0.0,ford,rwd,white,8900,0.0
2006,185000,4,0.0,NaN,4wd,grey,4500,0.0
2008,202670,8,0.0,ford,rwd,white,10900,0.0
2008,146172,6,0.0,ford,rwd,white,6900,0.0
2006,90491,8,0.0,gmc,rwd,white,9900,0.0
2000,112025,4,0.0,chevrolet,fwd,white,2900,0.0
2004,199874,NaN,0.0,lexus,NaN,silver,3995,0.0
2009,178335,6,0.0,NaN,rwd,white,9900,0.0
2011,113770,6,0.0,bmw,rwd,NaN,9995,0.0
