year,odometer,cylinders,fuel,manufacture,drive,paint,price,transmission
2004.0,145000.0,4.0,0.0,honda,,silver,4900.0,0.0
2011.0,79000.0,6.0,0.0,honda,fwd,,12500.0,0.0
1995.0,138000.0,8.0,0.0,ford,,black,11000.0,1.0
2006.0,132000.0,4.0,0.0,toyota,fwd,black,3500.0,0.0
1991.0,105000.0,4.0,0.0,bmw,,black,9900.0,1.0
2004.0,1.0,6.0,0.0,bmw,4wd,white,4500.0,0.0
2014.0,52053.0,,0.0,infiniti,rwd,silver,,0.0
2023.0,1.0,,1.0,,4wd,grey,1000.0,0.0
2007.0,153000.0,6.0,0.0,volvo,,blue,4250.0,0.0
2016.0,92000.0,,0.0,,,,250000.0,0.0
2018.0,37200.0,,1.0,tesla,4wd,white,53000.0,0.0
1969.0,160000.0,4.0,0.0,volvo,rwd,red,4500.0,1.0
2018.0,57000.0,,1.0,,4wd,blue,49000.0,0.0
2006.0,140000.0,,0.0,,,,500.0,0.0
2022.0,2700.0,,1.0,on,,white,49000.0,0.0
2018.0,58000.0,,1.0,tesla,,red,35000.0,0.0
1991.0,197000.0,,0.0,bmw,,,13000.0,1.0
2016.0,104000.0,,1.0,tesla,,black,63000.0,0.0
2019.0,43476.0,,0.0,lexus,fwd,,,0.0
2022.0,80.0,,1.0,ford,fwd,silver,33300.0,0.0
2011.0,116080.0,,0.0,audi,,,18000.0,0.0
2007.0,128439.0,4.0,0.0,toyota,rwd,white,13500.0,1.0
2004.0,180000.0,6.0,0.0,mercedes,rwd,silver,3800.0,0.0
2002.0,120271.0,8.0,0.0,,,white,2500.0,0.0
2005.0,114437.0,8.0,0.0,ford,,white,12700.0,0.0
2007.0,100000.0,,0.0,jeep,,,6700.0,0.0
2009.0,134000.0,6.0,0.0,infiniti,,white,9900.0,0.0
2013.0,94000.0,4.0,0.0,honda,fwd,silver,17500.0,0.0
2002.0,174000.0,8.0,0.0,,rwd,black,2600.0,1.0
2009.0,97000.0,4.0,0.0,nissan,,,4800.0,0.0
2007.0,102000.0,6.0,0.0,chrysler,fwd,green,4300.0,0.0
2007.0,185000.0,,1.0,ford,,white,11500.0,0.0
2014.0,66000.0,8.0,0.0,ford,,,19500.0,0.0
2015.0,28000.0,,0.0,to,,,1.0,0.0
2017.0,129253.0,,0.0,toyota,,white,,0.0
2012.0,145000.0,4.0,0.0,kia,,,7200.0,0.0
2002.0,127500.0,6.0,0.0,ford,,red,7850.0,0.0
2010.0,164000.0,,0.0,ford,,,8000.0,0.0
2021.0,40000.0,8.0,0.0,,4wd,silver,29999.0,0.0
2011.0,62000.0,6.0,0.0,,rwd,grey,14990.0,0.0
2020.0,29354.0,4.0,1.0,toyota,fwd,blue,17500.0,0.0
2012.0,141561.0,,1.0,chevrolet,,black,5990.0,0.0
2010.0,219000.0,8.0,0.0,gmc,4wd,,10500.0,0.0
2015.0,120000.0,6.0,0.0,toyota,,white,17800.0,0.0
2014.0,94727.0,,0.0,bmw,,white,19995.0,0.0
2013.0,103472.0,6.0,0.0,,rwd,black,54000.0,0.0
2021.0,40000.0,8.0,0.0,gmc,4wd,black,33999.0,0.0
2016.0,457000.0,6.0,0.0,,rwd,yellow,48500.0,0.0
2012.0,58000.0,4.0,0.0,toyota,fwd,black,15800.0,0.0
2020.0,30200.0,,1.0,tesla,rwd,white,39000.0,0.0
2001.0,144000.0,6.0,0.0,bmw,rwd,grey,4900.0,0.0
2017.0,51494.0,6.0,0.0,acura,4wd,white,32000.0,0.0
2006.0,631.0,8.0,0.0,,rwd,red,50000.0,1.0
2018.0,16025.0,6.0,0.0,,4wd,black,197000.0,0.0
2023.0,6300.0,8.0,1.0,,4wd,white,160000.0,0.0
2009.0,150000.0,6.0,0.0,nissan,rwd,blue,5975.0,0.0
2015.0,120000.0,6.0,0.0,toyota,fwd,grey,15000.0,0.0
